item_a,item_name_a,item_b,item_name_b,co_occurrence_count,affinity_rank
102900005116714,Broccoli,102900011016701,Wuhu Green Pepper (1),178945,1
102900005116530,Xixia Mushroom (1),102900011016701,Wuhu Green Pepper (1),137452,1
102900005116530,Xixia Mushroom (1),102900005116714,Broccoli,129385,2
102900005116899,Net Lotus Root (1),102900011016701,Wuhu Green Pepper (1),119551,1
102900005115779,Yunnan Shengcai,102900011016701,Wuhu Green Pepper (1),114506,1
102900005116714,Broccoli,102900005116899,Net Lotus Root (1),108865,2
102900005115779,Yunnan Shengcai,102900005116714,Broccoli,105575,2
102900005116530,Xixia Mushroom (1),102900005116899,Net Lotus Root (1),99980,3
102900005115779,Yunnan Shengcai,102900005116530,Xixia Mushroom (1),94657,3
102900005116257,Eggplant (2),102900011016701,Wuhu Green Pepper (1),90260,1
102900005116714,Broccoli,102900005117056,Paopaojiao (Jingpin),73520,3
102900005116530,Xixia Mushroom (1),102900005117056,Paopaojiao (Jingpin),71424,4
102900005115779,Yunnan Shengcai,102900005116899,Net Lotus Root (1),70843,4
102900011000328,Luosi Pepper,102900011016701,Wuhu Green Pepper (1),68761,1
102900005116257,Eggplant (2),102900005116714,Broccoli,67376,2
102900005115984,Yunnan Lettuces,102900011016701,Wuhu Green Pepper (1),66437,1
102900005115779,Yunnan Shengcai,102900005117056,Paopaojiao (Jingpin),65437,5
102900011016701,Wuhu Green Pepper (1),106949711300259,Needle Mushroom (Box),61858,1
102900005115984,Yunnan Lettuces,102900005116714,Broccoli,61224,2
102900005115984,Yunnan Lettuces,102900005116530,Xixia Mushroom (1),57015,3
102900005116714,Broccoli,102900011000328,Luosi Pepper,56673,4
102900005116899,Net Lotus Root (1),102900005117056,Paopaojiao (Jingpin),52837,2
102900005116257,Eggplant (2),102900005116530,Xixia Mushroom (1),52615,3
102900005116233,Red Pepper (1),102900011016701,Wuhu Green Pepper (1),51687,1
102900005115960,Chinese Cabbage,102900005117056,Paopaojiao (Jingpin),49680,1
102900011016701,Wuhu Green Pepper (1),102900011030059,Yunnan Lettuce (Bag),49662,2
102900005117056,Paopaojiao (Jingpin),102900011009970,Qinggengsanhua,48099,1
102900005115786,Zhuyecai,102900011016701,Wuhu Green Pepper (1),47436,1
102900005115823,Shanghaiqing,102900011016701,Wuhu Green Pepper (1),46392,1
102900005116530,Xixia Mushroom (1),102900011000328,Luosi Pepper,45193,5
102900005115984,Yunnan Lettuces,102900005117056,Paopaojiao (Jingpin),45167,4
102900011016701,Wuhu Green Pepper (1),102900011034026,Zhijiang Qinggengsanhua,44534,3
102900011008164,Naibaicai,102900011016701,Wuhu Green Pepper (1),42650,1
102900005125808,Millet Pepper,102900011016701,Wuhu Green Pepper (1),42533,1
102900005116257,Eggplant (2),102900005116899,Net Lotus Root (1),41780,4
102900005115984,Yunnan Lettuces,102900005116899,Net Lotus Root (1),41479,5
102900005115823,Shanghaiqing,102900005116714,Broccoli,41320,2
102900005115960,Chinese Cabbage,102900005116530,Xixia Mushroom (1),40957,2
102900005115250,Xixia Black Mushroom (1),102900011016701,Wuhu Green Pepper (1),40834,1
102900005118817,Spinach,102900011016701,Wuhu Green Pepper (1),40470,1
102900005116714,Broccoli,102900011009970,Qinggengsanhua,40378,5
102900005115960,Chinese Cabbage,102900005116714,Broccoli,39835,3
102900005115786,Zhuyecai,102900005116714,Broccoli,38416,2
102900011016701,Wuhu Green Pepper (1),102900011031100,Millet Pepper (Bag),38245,4
102900005115823,Shanghaiqing,102900005116530,Xixia Mushroom (1),36847,3
102900005116233,Red Pepper (1),102900005116714,Broccoli,36742,2
102900011016701,Wuhu Green Pepper (1),102900051010455,Huangbaicai (2),36115,5
102900005116547,Needle Mushroom (1),102900005117056,Paopaojiao (Jingpin),35249,1
102900011009970,Qinggengsanhua,102900011016701,Wuhu Green Pepper (1),34838,1
102900005115762,Amaranth,102900011016701,Wuhu Green Pepper (1),34277,1
102900005116257,Eggplant (2),102900011000328,Luosi Pepper,32995,5
102900005119975,Hongshujian,102900011016701,Wuhu Green Pepper (1),32299,1
102900005116899,Net Lotus Root (1),102900011000328,Luosi Pepper,31724,3
102900005116547,Needle Mushroom (1),102900005116714,Broccoli,31569,2
102900005115823,Shanghaiqing,102900005117056,Paopaojiao (Jingpin),31497,4
102900005116233,Red Pepper (1),102900005116530,Xixia Mushroom (1),31227,3
102900005117056,Paopaojiao (Jingpin),102900051010455,Huangbaicai (2),30828,2
102900005118831,Wawacai,102900011016701,Wuhu Green Pepper (1),30815,1
102900005115960,Chinese Cabbage,102900005116899,Net Lotus Root (1),30475,4
102900005115878,Garden Chrysanthemum,102900011016701,Wuhu Green Pepper (1),30378,1
102900005116899,Net Lotus Root (1),102900005118817,Spinach,29699,4
102900005115878,Garden Chrysanthemum,102900005116530,Xixia Mushroom (1),27984,2
