transaction_date,item_code,item_name,category_name,sold_kg,returned_kg,return_rate_pct,avg_return_price
2021-02-28,102900005116714,Xixia Black Mushroom (1),Cabbage,12.395,-0.291,0.0,
2021-02-28,102900005115748,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,106.415,,0.0,
2021-02-28,102900005125815,Yunnan Shengcai,Edible Mushroom,10.000,,0.0,
2021-02-28,102900005115823,Ping Mushroom,Flower/Leaf Vegetables,7.812,,0.0,
2021-02-27,102900005115748,Caidian Quinoa Artemisia,Flower/Leaf Vegetables,7.270,,0.0,
2021-02-27,102900011000328,Green Hot Peppers,Capsicum,55.655,,0.0,
2021-02-28,102900005115885,Millet Pepper,Flower/Leaf Vegetables,62.478,,0.0,
2021-02-28,102900005125808,Jigu Mushroom (Bunch),Capsicum,5.473,,0.0,
2021-02-28,102900011018095,Round Eggplant (2),Edible Mushroom,2.670,,0.0,
2021-02-28,102900005118831,Xixia Mushroom (1),Flower/Leaf Vegetables,2.934,,0.0,
2021-03-01,102900011000328,Pepper Mix,Capsicum,2.080,,0.0,
2021-03-01,102900011009970,Green Eggplant (1),Cabbage,0.988,,0.0,
2021-03-01,102900005116837,Net Lotus Root (1),Edible Mushroom,18.602,,0.0,
2021-03-01,102900005115854,White Caitai,Flower/Leaf Vegetables,0.844,,0.0,
2021-03-01,102900011008164,Spinach,Flower/Leaf Vegetables,0.376,,0.0,
2021-03-01,102900005118831,Haixian Mushroom (Bag) (4),Flower/Leaf Vegetables,33.813,,0.0,
2021-03-02,102900005115786,Yunnan Shengcai,Flower/Leaf Vegetables,8.197,,0.0,
2021-03-02,102900011016701,Chinese Caterpillar Fungus Flowers (Bag),Capsicum,10.243,,0.0,
2021-03-02,102900005116257,Naibaicai,Solanum,8.642,,0.0,
2021-03-02,102900005123880,Haixian Mushroom (Bag) (4),Capsicum,0.512,,0.0,
2021-03-02,102900005116899,Needle Mushroom (1),Aquatic Tuberous Vegetables,2.869,,0.0,
2021-03-01,102900005117209,Niushou Youcai,Capsicum,1.698,,0.0,
2021-03-03,102900005115885,Sichuan Red Cedar,Flower/Leaf Vegetables,4.000,,0.0,
2021-03-03,102900005115984,White Caitai,Flower/Leaf Vegetables,5.639,,0.0,
2021-03-03,102900005115823,Honghu Lotus Root Powder (Fenou),Flower/Leaf Vegetables,11.000,,0.0,
2021-03-02,102900011000571,Naibaicai,Flower/Leaf Vegetables,6.878,,0.0,
2021-03-03,102900011022030,Millet Pepper,Capsicum,6.156,,0.0,
2021-03-03,102900011009444,Caidian Quinoa Artemisia,Solanum,37.980,,0.0,
2021-03-04,102900005116714,Needle Mushroom (1),Cabbage,38.689,,0.0,
2021-03-04,102900011016701,Green Line Pepper,Capsicum,5.000,,0.0,
2021-03-04,102900005115823,Caixin,Flower/Leaf Vegetables,10.000,,0.0,
2021-03-04,102900011006689,Apricot Bao Mushroom (1),Flower/Leaf Vegetables,2.946,,0.0,
2021-03-04,106930274220092,Wuhu Green Pepper (1),Edible Mushroom,2.000,,0.0,
2021-03-04,102900005118831,Dalong Eggplant,Flower/Leaf Vegetables,0.785,,0.0,
2021-03-03,106930274220092,Broccoli,Edible Mushroom,9.464,,0.0,
2021-03-05,102900005116233,Luosi Pepper,Capsicum,4.333,,0.0,
2021-03-05,102900051004294,Wawacai,Capsicum,11.074,,0.0,
2021-03-05,102900005115854,Green Eggplant (1),Flower/Leaf Vegetables,3.856,,0.0,
2021-03-05,102900051000463,Huangbaicai (2),Solanum,5.771,,0.0,
2021-03-06,102900005116547,Niushou Shengcai,Edible Mushroom,12.000,,0.0,
2021-03-06,102900005115984,Yunnan Shengcai,Flower/Leaf Vegetables,4.000,,0.0,
2021-03-06,102900005115199,Green Hot Peppers,Flower/Leaf Vegetables,2.541,,0.0,
2021-03-06,106958851400125,Spinach,Edible Mushroom,3.593,,0.0,
2021-03-06,102900011006689,Ping Mushroom,Flower/Leaf Vegetables,8.545,,0.0,
2021-03-06,106930274220092,Fresh Black Fungus (1),Edible Mushroom,0.845,,0.0,
2021-03-07,102900011022924,Chinese Caterpillar Fungus Flowers (Bag),Flower/Leaf Vegetables,13.537,,0.0,
2021-03-07,102900005115748,Needle Mushroom (1),Flower/Leaf Vegetables,4.829,,0.0,
2021-03-07,102900005116509,Fresh Black Fungus (1),Solanum,5.461,,0.0,
2021-03-06,102900011001219,Green Line Pepper,Capsicum,18.000,,0.0,
2021-03-07,102900011007464,Radish Leaves,Flower/Leaf Vegetables,0.558,,0.0,
2021-03-08,102900011000571,Chinese Caterpillar Fungus Flowers (Bag),Flower/Leaf Vegetables,1.689,,0.0,
2021-03-08,102900005115960,Jigu Mushroom (Bunch),Flower/Leaf Vegetables,1.674,,0.0,
2021-03-08,102900011007464,White Caitai,Flower/Leaf Vegetables,15.446,,0.0,
2021-03-08,102900051004294,Sichuan Red Cedar,Capsicum,81.319,,0.0,
2021-03-08,102900051000463,Net Lotus Root (1),Solanum,2.212,,0.0,
2021-03-09,102900005115199,Wuhu Green Pepper (1),Flower/Leaf Vegetables,10.602,,0.0,
2021-03-09,102900011000571,Ping Mushroom,Flower/Leaf Vegetables,0.527,,0.0,
2021-03-09,102900005115762,Caixin,Flower/Leaf Vegetables,33.941,,0.0,
2021-03-08,102900005115762,Millet Pepper,Flower/Leaf Vegetables,14.430,,0.0,
2021-03-10,102900005115885,Green Hot Peppers,Flower/Leaf Vegetables,4.174,,0.0,
2021-03-10,106930274220092,Naibaicai,Edible Mushroom,1.874,,0.0,
2021-03-10,102900005116530,Millet Pepper,Edible Mushroom,26.000,,0.0,
2021-03-10,106958851400125,White Caitai,Edible Mushroom,11.442,,0.0,
2021-03-10,102900005116226,Broccoli,Capsicum,7.000,,0.0,
2021-03-09,102900005115168,Perilla,Flower/Leaf Vegetables,2.341,,0.0,
2021-03-10,102900005116790,Green Line Pepper,Flower/Leaf Vegetables,0.414,,0.0,
2021-03-11,102900011001806,Apricot Bao Mushroom (1),Edible Mushroom,5.000,,0.0,
2021-03-11,102900011018095,Machixian,Edible Mushroom,13.000,,0.0,
2021-03-11,102900011013274,Purple Beicai,Edible Mushroom,2.029,,0.0,
2021-03-12,102900005115748,Huangbaicai (2),Flower/Leaf Vegetables,1.009,,0.0,
2021-03-12,102900011012994,Shanghaiqing,Edible Mushroom,2.425,,0.0,
2021-03-12,102900005115250,The White Mushroom (Bag),Edible Mushroom,22.778,,0.0,
2021-03-12,102900005116790,Luosi Pepper,Flower/Leaf Vegetables,7.753,,0.0,
2021-03-12,102900051000463,Net Lotus Root (1),Solanum,0.880,,0.0,
2021-03-13,102900011016701,Xixia Mushroom (1),Capsicum,18.429,,0.0,
2021-03-13,102900005115984,High Melon (1),Flower/Leaf Vegetables,17.022,,0.0,
2021-03-13,102900005115885,Honghu Lotus Root Powder (Fenou),Flower/Leaf Vegetables,0.918,,0.0,
2021-03-13,102900005116837,Xixia Mushroom (1),Edible Mushroom,26.314,,0.0,
2021-03-13,102900011009246,Net Lotus Root (1),Edible Mushroom,4.867,,0.0,
2021-03-14,102900011000571,Amaranth,Flower/Leaf Vegetables,0.325,,0.0,
2021-03-14,102900011008515,Amaranth,Flower/Leaf Vegetables,1.284,,0.0,
2021-03-13,102900005116639,Zhuyecai,Flower/Leaf Vegetables,8.379,,0.0,
2021-03-13,102900005119975,Red Hang Pepper,Flower/Leaf Vegetables,0.322,,0.0,
2021-03-13,102900011008515,Naibaicai,Flower/Leaf Vegetables,25.625,,0.0,
2021-03-14,102900011007464,Green Hot Peppers,Flower/Leaf Vegetables,13.146,,0.0,
2021-03-15,102900011016701,Spinach,Capsicum,4.361,,0.0,
2021-03-15,102900005115885,Red Pepper (1),Flower/Leaf Vegetables,6.690,,0.0,
2021-03-15,102900011009970,Panax Notoginseng,Cabbage,40.000,,0.0,
2021-03-15,102900051004294,Niushou Shengcai,Capsicum,0.258,,0.0,
