item_code,item_name,category_name,price_elasticity_coeff
102900005116257,Purple Cabbage (1),Flower/Leaf Vegetables,-nan
102900011007471,Foreign Garland Chrysanthemum ,Aquatic Tuberous Vegetables,-nan
102900011034439,Eggplant (1),Capsicum,-nan
102900011034330,Zhijiang Red Bolt,Edible Mushroom,-nan
106931885000356,Chinese Caterpillar Fungus Flowers (Bag),Flower/Leaf Vegetables,-nan
106973223300667,Hongshan Caitai,Flower/Leaf Vegetables,-nan
102900011021675,Juhua Youcai,Flower/Leaf Vegetables,-nan
102900011032640,Machixian,Capsicum,-nan
102900011035511,Caixin,Flower/Leaf Vegetables,-nan
102900011035764,Velvet Antler Mushroom (Box),Capsicum,-nan
102900005115946,Red Lotus Root Zone,Flower/Leaf Vegetables,-nan
102900005116509,Amaranth,Capsicum,-nan
102900011030042,Crab Flavor Mushroom And White Mushroom Mix (Box),Flower/Leaf Vegetables,-nan
102900011007495,Mushroom And Leaf Mix (Bag),Flower/Leaf Vegetables,-nan
102900051006229,Purple Beicai,Edible Mushroom,
102900051010455,7 Colour Pepper (2),Flower/Leaf Vegetables,-nan
102900051000463,Fruit Pepper (Orange),Edible Mushroom,-nan
102900005115861,The Crab Flavor Mushroom (Bag),Flower/Leaf Vegetables,-nan
102900005115960,Perilla,Flower/Leaf Vegetables,0.27794851671034393
102900011001561,Malan Head,Flower/Leaf Vegetables,-nan
102900011024010,Ginger And Xiaomijiao Mix (Small Bag),Edible Mushroom,-nan
106973990980123,Mustard,Capsicum,-inf
102900011031100,Red Coral (Leaf),Capsicum,-nan
102900011001806,Nanguajian,Flower/Leaf Vegetables,
106956146480197,Bell Pepper (1),Aquatic Tuberous Vegetables,-nan
106971533450003,Suizhou Bubble Green,Capsicum,-nan
102900011030639,Changxianqie,Edible Mushroom,-nan
102900011031841,Yunnan Lettuces,Flower/Leaf Vegetables,-nan
102900011033968,The Red Bell Pepper (1),Edible Mushroom,-nan
102900011034354,Black Rapeseed,Capsicum,-nan
102900011007044,Water Chestnut,Flower/Leaf Vegetables,-nan
102900011034262,Yunnan Lettuce (Bag),Edible Mushroom,-nan
102900011016909,Hua Eggplant,Edible Mushroom,-nan
102900011031995,Jigu (Bag),Flower/Leaf Vegetables,-nan
102900011030134,Xiaoqingcai (2),Flower/Leaf Vegetables,-nan
102900011030929,Green Eggplant (2),Flower/Leaf Vegetables,-nan
102900011030059,Red Oak Leaf,Solanum,-nan
102900011030561,Broccoli,Flower/Leaf Vegetables,-nan
102900011032244,Apricot Bao Mushroom (Bag),Edible Mushroom,-nan
102900011030158,Xianzongye,Flower/Leaf Vegetables,-nan
102900011033975,Xiaozhoupi,Aquatic Tuberous Vegetables,-nan
102900011033562,The Pork Stomach Mushroom (Box),Cabbage,-nan
106949711300259,Chopped Red Pine (Box),Flower/Leaf Vegetables,-nan
102900011011546,Red Hot Peppers (Bag),Capsicum,-nan
102900011009444,Miantiaocai,Edible Mushroom,-nan
102900005115885,Green Hang Pepper (Bag),Flower/Leaf Vegetables,-nan
102900011027479,Cabbage Stem (Bag),Flower/Leaf Vegetables,-nan
102900011030615,Naibai Caimiao,Capsicum,-nan
102900011032589,Needle Mushroom (Box),Flower/Leaf Vegetables,-nan
102900011033944,Haixian Mushroom (Bag) (1),Capsicum,-nan
102900011034569,Caixin (Bag),Flower/Leaf Vegetables,-nan
106931885000035,Fresh Edible Fungus (Bag),Flower/Leaf Vegetables,-nan
106956146480203,Dalong Eggplant,Flower/Leaf Vegetables,
106957634300010,Caidian Quinoa Artemisia,Capsicum,-nan
102900005116806,Yuxingcao ,Flower/Leaf Vegetables,-nan
102900011009277,Apricot Bao Mushroom (2),Solanum,-nan
102900005117353,Honghu Lotus (Lotus Root),Flower/Leaf Vegetables,-nan
102900011031599,Embroidered Aureus,Flower/Leaf Vegetables,-nan
102900011034323,The Crab Flavor Mushroom (2),Edible Mushroom,-nan
102900005116714,The White Mushroom (Box),Edible Mushroom,-nan
106971533455008,The White Mushroom (1),Flower/Leaf Vegetables,-nan
102900011008515,Haixian Mushroom (Bag) (3),Edible Mushroom,-nan
102900011032206,Xiaozhoupi (Bag),Capsicum,-inf
102900011034231,Honghu Lotus Root,Solanum,-nan
102900011027462,Millet Pepper,Flower/Leaf Vegetables,-nan
102900005116943,Basil (Bag),Cabbage,-nan
102900011031858,Apricot Bao Mushroom (1),Capsicum,-nan
106949711300068,Spinach (Bag),Edible Mushroom,-nan
102900011031216,Purple Cabbage (2),Solanum,-nan
102900011033241,Wandoujian,Edible Mushroom,-nan
102900005116233,Green Hot Peppers,Flower/Leaf Vegetables,-nan
102900011032213,High Melon (1),Solanum,-nan
