transaction_month,transaction_year,item_code,item_name,category_name,active_selling_days,total_volume_kg,avg_daily_velocity_kg,volume_volatility,demand_cv_pct
2022-05-01 00:00:00,2022-01-01 00:00:00,102900005115793,Xixia Mushroom (1),Edible Mushroom,29,291.783,2.0164074074074074,2.519544606596704,59.3
2021-11-01 00:00:00,2021-01-01 00:00:00,102900005115861,Zhijiang Red Bolt,Flower/Leaf Vegetables,27,1022.000,9.280466666666666,11.507451002347505,99.3
2021-01-01 00:00:00,2021-01-01 00:00:00,102900005115984,Zhijiang Red Bolt,Flower/Leaf Vegetables,31,89.049,15.254193548387097,0.7293888737612241,58.4
2023-05-01 00:00:00,2021-01-01 00:00:00,102900005116714,7 Colour Pepper (2),Capsicum,30,68.331,10.239642857142856,0.40322475977617217,68.2
2021-05-01 00:00:00,2022-01-01 00:00:00,102900005115908,7 Colour Pepper (2),Capsicum,30,73.000,15.045366666666666,0.018384776310850233,89.3
2021-06-01 00:00:00,2023-01-01 00:00:00,102900005116233,Lotus (Ea),Flower/Leaf Vegetables,13,1.000,0.5664827586206896,0.728439084618611,54.8
2022-05-01 00:00:00,2020-01-01 00:00:00,102900011032244,Foreign Garland Chrysanthemum ,Capsicum,25,62.855,0.9666333333333333,3.20721170123703,35.8
2023-03-01 00:00:00,2020-01-01 00:00:00,102900011034439,Foreign Garland Chrysanthemum ,Capsicum,31,1051.000,0.8416129032258064,2.043015673820997,35.5
2023-05-01 00:00:00,2020-01-01 00:00:00,102900011034439,Xiaoqingcai (2),Capsicum,31,181.000,0.47915,0.5,38.3
2020-10-01 00:00:00,2021-01-01 00:00:00,102900011034439,Ice Grass (Box),Capsicum,30,193.000,1.1462666666666665,0.5374011537017761,
2021-02-01 00:00:00,2021-01-01 00:00:00,102900011034439,Huangxincai (2),Capsicum,6,12.122,11.16976923076923,0.4359472445147463,87.2
2021-05-01 00:00:00,2021-01-01 00:00:00,102900005116257,Caixin,Capsicum,30,746.000,3.571387096774193,2.731268061356942,42.4
2022-11-01 00:00:00,2022-01-01 00:00:00,102900005116226,Red Pepper (1),Flower/Leaf Vegetables,12,464.000,2.0,1.4032228928178534,71.7
2023-01-01 00:00:00,2023-01-01 00:00:00,102900005116226,Red Hot Peppers (Bag),Flower/Leaf Vegetables,30,347.479,8.5,1.1018918193766554,87.2
2023-02-01 00:00:00,2021-01-01 00:00:00,102900005118817,Green And Red Hang Pepper Mix (Bag),Flower/Leaf Vegetables,22,367.577,1.9783333333333333,0.736914461663987,83.5
2022-09-01 00:00:00,2021-01-01 00:00:00,102900005118817,Green And Red Hang Pepper Mix (Bag),Flower/Leaf Vegetables,29,49.000,1.16675,3.418608170908624,43.9
2023-01-01 00:00:00,2023-01-01 00:00:00,102900005118817,Green And Red Hang Pepper Mix (Bag),Flower/Leaf Vegetables,30,248.547,2.3692903225806448,1.8887264881730326,40.5
2023-03-01 00:00:00,2022-01-01 00:00:00,102900005118817,Green And Red Hang Pepper Mix (Bag),Flower/Leaf Vegetables,31,142.352,3.1180967741935484,1.7163462893767887,93.3
2023-04-01 00:00:00,2022-01-01 00:00:00,102900005118817,Shanghaiqing,Edible Mushroom,2,465.043,7.783833333333333,14.522818056596082,45.6
2023-05-01 00:00:00,2022-01-01 00:00:00,102900005118817,Shanghaiqing,Edible Mushroom,30,133.575,15.132766666666667,7.123425874492829,68.8
2021-09-01 00:00:00,2023-01-01 00:00:00,102900011007044,Shanghaiqing,Edible Mushroom,23,595.138,6.18332,4.566870879157188,55.8
2021-12-01 00:00:00,2022-01-01 00:00:00,102900011007044,Shanghaiqing,Edible Mushroom,28,17.869,21.98632258064516,0.5449146722194219,26.6
2023-05-01 00:00:00,2022-01-01 00:00:00,102900011007044,Shanghaiqing,Aquatic Tuberous Vegetables,25,475.732,26.965870967741935,9.556610507802937,62.5
2022-06-01 00:00:00,2023-01-01 00:00:00,102900005115984,Shanghaiqing,Aquatic Tuberous Vegetables,30,13.501,8.8981,1.8664635292207907,33.2
2022-09-01 00:00:00,2022-01-01 00:00:00,102900005115984,Red Hot Peppers,Aquatic Tuberous Vegetables,30,62.221,15.069933333333333,1.868569670336973,88.6
2022-11-01 00:00:00,2023-01-01 00:00:00,102900005115984,Qinggengsanhua,Capsicum,31,786.238,2.217111111111111,11.755435344260599,92.7
2023-03-01 00:00:00,2021-01-01 00:00:00,102900011032251,Qinggengsanhua,Edible Mushroom,31,869.621,45.31522580645161,13.941858386972378,48.0
2022-09-01 00:00:00,2021-01-01 00:00:00,102900011032251,Net Lotus Root (2),Solanum,30,3720.225,40.723225806451616,6.806628833602679,55.5
2022-10-01 00:00:00,2021-01-01 00:00:00,102900011034026,Xixia Mushroom (1),Solanum,29,454.453,18.015,8.43602449875104,32.4
2023-01-01 00:00:00,2022-01-01 00:00:00,102900011034026,Xixia Mushroom (1),Solanum,31,816.401,34.37292592592593,6.7386438758790055,48.7
2022-12-01 00:00:00,2023-01-01 00:00:00,102900011034200,Yunnan Shengcai,Solanum,4,187.894,39.93516129032258,2.429303429280737,56.1
2023-04-01 00:00:00,2023-01-01 00:00:00,102900051006229,Ping Mushroom,Solanum,28,80.070,14.659774193548387,9.746333085039193,80.7
2021-05-01 00:00:00,2023-01-01 00:00:00,102900051010455,Ping Mushroom,Solanum,31,118.062,26.335516129032257,9.067004130245992,78.4
2023-06-01 00:00:00,2022-01-01 00:00:00,102900051010455,The Agaricus Bisporus,Edible Mushroom,21,431.022,17.078500000000002,3.3787635958378535,34.8
2023-01-01 00:00:00,2022-01-01 00:00:00,102900051010455,The Agaricus Bisporus,Flower/Leaf Vegetables,30,171.997,0.8622,3.4335312322721787,66.0
2022-02-01 00:00:00,2022-01-01 00:00:00,102900011000328,The Agaricus Bisporus,Flower/Leaf Vegetables,30,24.474,9.76923076923077,1.6042726218324894,59.5
2022-08-01 00:00:00,2021-01-01 00:00:00,102900011000328,The Agaricus Bisporus,Flower/Leaf Vegetables,26,16.857,56.38709677419355,3.9794470626873757,58.7
2022-12-01 00:00:00,2022-01-01 00:00:00,102900011000328,Haixian Mushroom (1),Edible Mushroom,28,0.622,32.07692307692308,6.3285523394093595,97.3
2021-01-01 00:00:00,2020-01-01 00:00:00,102900011000328,Needle Mushroom (Bag) (3),Edible Mushroom,27,699.381,34.468709677419355,8.37226201464276,47.2
2021-10-01 00:00:00,2020-01-01 00:00:00,102900011000328,Haixian Mushroom (Bunch),Edible Mushroom,30,533.757,8.8930625,6.82708509607804,69.5
2020-12-01 00:00:00,2021-01-01 00:00:00,102900011030417,Net Lotus Root (1),Edible Mushroom,31,254.955,13.678571428571429,0.7071067811865476,46.7
2021-05-01 00:00:00,2021-01-01 00:00:00,102900011032848,Net Lotus Root (1),Edible Mushroom,31,207.401,11.5,5.371346769686219,54.0
2021-07-01 00:00:00,2020-01-01 00:00:00,102900011033906,Net Lotus Root (1),Edible Mushroom,31,91.264,1.2763571428571427,1.435611144127426,40.9
2020-09-01 00:00:00,2020-01-01 00:00:00,102900011021842,Jigu Mushroom (1),Edible Mushroom,13,151.729,15.857733333333334,1.1189411045279813,74.1
2021-03-01 00:00:00,2021-01-01 00:00:00,102900011021842,Jigu Mushroom (1),Aquatic Tuberous Vegetables,31,58.268,2.7001999999999997,1.3643889065508734,0.0
2021-09-01 00:00:00,2020-01-01 00:00:00,102900011021842,Jigu Mushroom (1),Flower/Leaf Vegetables,31,28.999,6.913444444444444,0.5592649310996487,84.0
2022-09-01 00:00:00,2021-01-01 00:00:00,102900011031759,Caidian Quinoa Artemisia,Flower/Leaf Vegetables,31,335.892,9.921451612903226,0.9761742144034008,26.5
2022-01-01 00:00:00,2022-01-01 00:00:00,102900011034330,High Melon (1),Flower/Leaf Vegetables,31,162.402,11.8683,,56.9
2023-03-01 00:00:00,2021-01-01 00:00:00,102900051000463,High Melon (1),Flower/Leaf Vegetables,30,143.018,3.9711764705882358,1.3551385320979072,56.0
2020-11-01 00:00:00,2023-01-01 00:00:00,102900051000463,High Melon (1),Capsicum,31,123.281,0.424,1.1684140426235898,68.5
2021-08-01 00:00:00,2022-01-01 00:00:00,102900051000463,Luosi Pepper,Capsicum,31,179.866,8.550354838709676,0.5574278497638127,40.3
2021-09-01 00:00:00,2022-01-01 00:00:00,102900051000463,The Steak Mushrooms (Box),Capsicum,16,263.025,1.4445,0.02561667983393409,52.0
2023-03-01 00:00:00,2022-01-01 00:00:00,102900051000463,The Steak Mushrooms (Box),Flower/Leaf Vegetables,17,17.000,2.5816,3.9957819997151134,79.1
2023-04-01 00:00:00,2023-01-01 00:00:00,102900051000463,Fresh Edible Fungus (Bag),Flower/Leaf Vegetables,23,37.000,3.5682799999999997,5.270937796229826,68.1
2023-07-01 00:00:00,2022-01-01 00:00:00,102900011030608,Jigu (Bag),Cabbage,1,18.000,1.9768064516129031,2.5285890145319714,67.2
2020-12-01 00:00:00,2022-01-01 00:00:00,102900011030608,Jigu (Bag),Solanum,31,171.000,1.6923333333333335,12.485468243496447,70.0
2022-08-01 00:00:00,2022-01-01 00:00:00,102900011030929,Zhuyecai (Bag),Solanum,24,540.000,17.478037037037037,,67.0
2021-07-01 00:00:00,2022-01-01 00:00:00,102900011031995,Zhuyecai (Bag),Solanum,31,844.000,2.172344827586207,3.948409473432622,70.5
2021-09-01 00:00:00,2020-01-01 00:00:00,102900011031995,Haixian Mushroom (Bag) (4),Capsicum,30,6.000,1.31275,0.3566777256852466,34.5
2022-02-01 00:00:00,2021-01-01 00:00:00,102900011032787,Haixian Mushroom (Bag) (4),Solanum,17,54.443,2.691,2.075215396332745,62.3
2022-12-01 00:00:00,2021-01-01 00:00:00,102900011032787,Needle Mushroom (Bag) (2),Flower/Leaf Vegetables,31,278.414,2.3286000000000002,1.2578625847628035,35.4
2023-06-01 00:00:00,2021-01-01 00:00:00,106958851400125,Needle Mushroom (Bag) (2),Flower/Leaf Vegetables,30,472.880,8.017645161290323,0.8053913288211653,49.0
2023-04-01 00:00:00,2023-01-01 00:00:00,106958851400125,Needle Mushroom (Bag) (2),Flower/Leaf Vegetables,27,512.355,0.44114285714285717,0.8191355402699442,58.2
2023-06-01 00:00:00,2022-01-01 00:00:00,102900005115779,The Crab Flavor Mushroom (Box),Flower/Leaf Vegetables,31,12.933,10.613225806451613,2.910660967712577,128.5
2020-07-01 00:00:00,2023-01-01 00:00:00,106949711300259,Xixia Mushroom (1),Flower/Leaf Vegetables,16,127.000,6.6600370370370365,0.18443943385812256,68.8
2020-10-01 00:00:00,2023-01-01 00:00:00,102900005115779,Broccoli,Flower/Leaf Vegetables,31,1748.000,1.2976,4.002802928295316,63.7
2020-09-01 00:00:00,2020-01-01 00:00:00,102900005115250,Wuhu Green Pepper (1),Flower/Leaf Vegetables,31,834.000,1.0141818181818183,21.113963476969964,66.6
2022-04-01 00:00:00,2021-01-01 00:00:00,102900005116639,Fruit Chili,Flower/Leaf Vegetables,4,48.000,21.225806451612904,1.326589829115482,44.9
2023-03-01 00:00:00,2021-01-01 00:00:00,102900005116899,Yunnan Lettuce (Bag),Capsicum,30,150.000,6.84,0.43582670485717906,52.1
2020-09-01 00:00:00,2021-01-01 00:00:00,102900005116899,Yunnan Lettuce (Bag),Capsicum,25,84.000,17.419354838709676,1.4348022905275926,64.8
2021-09-01 00:00:00,2021-01-01 00:00:00,102900005115762,Yunnan Lettuce (Bag),Capsicum,28,159.000,27.225806451612904,1.8782105177513875,33.1
2021-10-01 00:00:00,2021-01-01 00:00:00,102900005115762,Yunnan Leaf Lettuce (Bag),Solanum,30,139.000,3.0,3.5046949405671217,0.0
2021-12-01 00:00:00,2023-01-01 00:00:00,102900005115762,Yunnan Leaf Lettuce (Bag),Flower/Leaf Vegetables,24,142.289,5.1545625,0.7700732432697555,83.5
2022-03-01 00:00:00,2023-01-01 00:00:00,102900005115960,Haixian Mushroom (Bag),Edible Mushroom,31,383.000,20.318181818181817,0.5953665792067637,85.2
2020-09-01 00:00:00,2023-01-01 00:00:00,102900011016701,Millet Pepper (Bag),Flower/Leaf Vegetables,29,322.000,26.642857142857142,8.810505093353049,55.7
2022-09-01 00:00:00,2023-01-01 00:00:00,102900011016701,Millet Pepper (Bag),Flower/Leaf Vegetables,26,6.488,15.466666666666667,10.09508089014123,61.1
2022-12-01 00:00:00,2022-01-01 00:00:00,102900011016701,Luosi Pepper,Cabbage,30,11.156,15.107782608695652,1.6105151556774207,73.3
2023-01-01 00:00:00,2021-01-01 00:00:00,102900005115960,Luosi Pepper,Edible Mushroom,31,658.000,11.857322580645162,1.1984138182004076,47.1
2020-12-01 00:00:00,2021-01-01 00:00:00,102900005116530,Luosi Pepper,Flower/Leaf Vegetables,28,82.473,8.166666666666666,0.7525599535196755,68.3
2021-10-01 00:00:00,2021-01-01 00:00:00,102900005116899,Luosi Pepper,Aquatic Tuberous Vegetables,31,447.000,3.8084516129032258,0.42189909857229374,49.2
2021-04-01 00:00:00,2023-01-01 00:00:00,102900005116899,Luosi Pepper,Aquatic Tuberous Vegetables,30,15.257,13.903935483870967,8.386956606180823,45.3
2023-04-01 00:00:00,2020-01-01 00:00:00,102900005116899,Hongshan Gift Box,Flower/Leaf Vegetables,31,62.998,5.5482903225806455,3.362283830521933,54.2
2022-01-01 00:00:00,2020-01-01 00:00:00,102900005116912,Ginger And Xiaomijiao Mix (Small Bag),Aquatic Tuberous Vegetables,30,5.251,1.2237,0.8648336096693937,65.7
2023-03-01 00:00:00,2021-01-01 00:00:00,102900005116912,Powcan Mountain Chinese Cabbage ,Aquatic Tuberous Vegetables,31,75.348,0.9365,1.0970247050377688,57.9
2022-02-01 00:00:00,2021-01-01 00:00:00,102900005116912,Honghu Lotus Root Powder (Fenou),Aquatic Tuberous Vegetables,5,69.858,0.622,2.487759696312199,49.8
2021-12-01 00:00:00,2021-01-01 00:00:00,102900005115199,Honghu Lotus Root Powder (Fenou),Capsicum,18,10.432,5.0098666666666665,3.2863353450309964,38.9
2022-06-01 00:00:00,2022-01-01 00:00:00,102900005116547,Honghu Lotus Root Powder (Fenou),Capsicum,31,1061.024,4.961166666666667,3.728727543131717,40.7
2020-09-01 00:00:00,2020-01-01 00:00:00,102900005116547,Red Bell Pepper (Bag),Cabbage,24,179.487,4.506516129032258,2.1967582478349796,50.8
2021-02-01 00:00:00,2021-01-01 00:00:00,102900005116219,Agaricus Bisporus (Box),Cabbage,31,430.504,3.7185333333333332,2.306236114558081,
2021-06-01 00:00:00,2021-01-01 00:00:00,102900011009970,Round Eggplant (2),Aquatic Tuberous Vegetables,11,150.296,4.908689655172414,1.2298279017066134,91.0
2022-01-01 00:00:00,2023-01-01 00:00:00,102900011009970,Round Eggplant (2),Edible Mushroom,29,148.835,15.501433333333333,4.039155631787791,41.1
2021-05-01 00:00:00,2023-01-01 00:00:00,102900011023976,Round Eggplant (2),Edible Mushroom,30,139.702,4.308870967741935,14.426060981472954,43.8
2021-06-01 00:00:00,2022-01-01 00:00:00,102900011027479,Round Eggplant (2),Edible Mushroom,30,111.556,19.837933333333336,3.1354776454887188,85.0
2021-11-01 00:00:00,2023-01-01 00:00:00,102900011027479,Round Eggplant (2),Edible Mushroom,30,614.000,120.00725806451612,0.0,30.4
2020-11-01 00:00:00,2022-01-01 00:00:00,102900011027479,Round Eggplant (2),Capsicum,14,212.938,9.322966666666668,2.974484993340823,54.1
2022-12-01 00:00:00,2021-01-01 00:00:00,102900011032480,Zhuyecai,Capsicum,31,104.960,18.332645161290323,3.027477631548053,86.1
2020-07-01 00:00:00,2022-01-01 00:00:00,106949711300167,Zhuyecai,Capsicum,9,316.469,0.957,1.0853404717232467,60.2
2021-08-01 00:00:00,2023-01-01 00:00:00,106949711300167,Zhuyecai,Flower/Leaf Vegetables,31,10.000,17.07474193548387,4.813715920255323,31.8
2022-08-01 00:00:00,2023-01-01 00:00:00,106949711300167,Zhuyecai,Flower/Leaf Vegetables,30,307.000,2.726034482758621,1.4617454292728265,42.5
2020-12-01 00:00:00,2022-01-01 00:00:00,106957634300058,Chinese Cabbage,Flower/Leaf Vegetables,19,223.000,4.7954,5.357351365698871,56.3
2022-02-01 00:00:00,2023-01-01 00:00:00,102900005116530,Chinese Cabbage,Edible Mushroom,31,38.000,29.838709677419356,10.088045895050497,59.6
2022-10-01 00:00:00,2023-01-01 00:00:00,102900011016701,Luosi Pepper (Bag),Edible Mushroom,3,177.000,0.9535625,1.2135570177489128,74.5
2023-03-01 00:00:00,2023-01-01 00:00:00,102900011016701,Luosi Pepper (Bag),Capsicum,20,171.000,7.5,2.9509184278485385,
2023-05-01 00:00:00,2021-01-01 00:00:00,102900011032619,Zhijiang Qinggengsanhua,Capsicum,1,35.000,22.193548387096776,6.286170571310717,46.2
2022-01-01 00:00:00,2021-01-01 00:00:00,106949711300259,Zhijiang Qinggengsanhua,Capsicum,4,1.915,3.7777777777777777,16.014984684708022,37.0
2022-02-01 00:00:00,2022-01-01 00:00:00,102900011001561,Amaranth (Bag),Cabbage,8,7.870,6.25,2.8370372728966533,96.5
2022-03-01 00:00:00,2023-01-01 00:00:00,102900011006948,Apricot Bao Mushroom (1),Cabbage,31,1275.239,4.333333333333333,3.3639212812660495,66.3
2021-11-01 00:00:00,2021-01-01 00:00:00,102900011006948,Dongmenkou Xiaobaicai,Flower/Leaf Vegetables,30,228.774,5.392533333333334,0.30346069016627253,42.1
2022-03-01 00:00:00,2021-01-01 00:00:00,102900011030158,Dongmenkou Xiaobaicai,Aquatic Tuberous Vegetables,31,3.180,2.7067666666666668,1.1176403164020572,48.4
2020-08-01 00:00:00,2022-01-01 00:00:00,102900011031216,Dongmenkou Xiaobaicai,Flower/Leaf Vegetables,31,204.543,5.417166666666666,0.9186440641873579,80.4
2020-10-01 00:00:00,2022-01-01 00:00:00,102900011033920,Naibaicai,Flower/Leaf Vegetables,20,1305.958,13.956764705882351,1.3211786825070677,74.8
2021-09-01 00:00:00,2022-01-01 00:00:00,102900011016701,Naibaicai,Flower/Leaf Vegetables,28,161.776,3.994923076923077,1.1712974415372568,92.3
2021-10-01 00:00:00,2022-01-01 00:00:00,102900011029305,Naibaicai,Edible Mushroom,30,81.203,1.0,3.903875856533582,97.2
2020-09-01 00:00:00,2021-01-01 00:00:00,102900011030059,Green Hot Peppers,Flower/Leaf Vegetables,25,162.515,5.533333333333333,0.3746526899613002,59.5
2020-12-01 00:00:00,2021-01-01 00:00:00,102900011030059,Green Hot Peppers,Flower/Leaf Vegetables,31,237.265,10.073142857142857,4.357688781220901,9.2
2021-12-01 00:00:00,2022-01-01 00:00:00,102900011030059,Spinach,Flower/Leaf Vegetables,27,51.934,9.466666666666667,2.919414146727723,83.7
2020-08-01 00:00:00,2022-01-01 00:00:00,102900011030097,Spinach,Flower/Leaf Vegetables,31,3.000,9.277777777777779,1.4290224851827542,48.2
2021-03-01 00:00:00,2023-01-01 00:00:00,102900011030097,Spinach,Flower/Leaf Vegetables,31,166.000,14.6,1.6251232694862385,24.9
2022-07-01 00:00:00,2020-01-01 00:00:00,102900011030912,Spinach,Flower/Leaf Vegetables,30,70.512,1.3333333333333333,2.7863720376665757,42.8
2020-09-01 00:00:00,2022-01-01 00:00:00,102900011031100,Spinach,Capsicum,8,8.000,14.387096774193548,1.6091281946449596,45.4
2021-07-01 00:00:00,2020-01-01 00:00:00,102900011031100,Spinach,Capsicum,23,2.000,1.873,0.5637925904268724,82.0
2020-11-01 00:00:00,2021-01-01 00:00:00,102900011033944,Tremella (Flower),Capsicum,30,90.000,2.0363333333333333,,103.4
2021-06-01 00:00:00,2021-01-01 00:00:00,102900011033944,Tremella (Flower),Capsicum,31,22.000,1.9376296296296298,1.555706200170842,108.7
2021-11-01 00:00:00,2021-01-01 00:00:00,102900011033944,Tremella (Flower),Capsicum,6,227.000,0.9730000000000001,1.1293797386531856,0.0
